,date,id,content,username,like_count,retweet_count
0,2022-11-30 02:58:19+00:00,1597787077004955648,Mastodon's Privacy: Who actually holds your data in Mastodon - Blog https://t.co/2GGJtoOFFx #programming #softwareengineering #bigdata #datascience #analytics #ai #python #javascript,GavLaaaaaaaa,0,0
1,2022-11-30 02:58:02+00:00,1597787005173350401,"CursorTek is #selling #bulk #data of 3k plus #categories like:

#Landscaping #Lawyers #Laundry #DayCare #ChildCare #Building #Cleaning #Electricians #CarDealers #SelfStorage #LifeInsurance #AutoParts #HairStylists #salons #barbershop #scraping #python #AI

https://t.co/xO23syY7dI https://t.co/QE1MULbnmC",cursortek,0,0
2,2022-11-30 02:57:24+00:00,1597786847639646209,"There is the path of each of you close to yourself.
Life goes easy once you find it out.
- A Great Mentor's Word
#programming #Coding #CodingMotivation #Java #ReactJS #javascript #DataAnalytics #SQL #Python #Mentalhealth #BrainHealthForFuture #coachingteacher #MentorsWORD #ikigai https://t.co/lFpCub4lyl",theWordofMentor,1,0
3,2022-11-30 02:56:10+00:00,1597786538095550464,"New side project who dis

#Python #javascript #programming #programminghumor #programmingmemes https://t.co/lywtwOy60K",inmicahineworks,3,1
4,2022-11-30 02:56:07+00:00,1597786526238261248,"He deleted some &amp;#8216;unnecessary&amp;#8217; files and completely corrupted his project

#Python #javascript #programming #programminghumor #programmingmemes https://t.co/4pqw9EZSM0",inmicahineworks,2,1
5,2022-11-30 02:55:40+00:00,1597786410538659841,"Hire our writers for the best grades in your papers.
✓nursing....
✓essays
✓Math
✓physics.
✓biology.
✓physics.
✓chemistry...
✓calculus
✓essay pay.
#javascript
#Python
#NodeJS #IoT
#BigData 
#Serverless 
#programming 
#cybersecurity 
#雅思托福 https://t.co/EGhyKy3N7W",vQiRV0QbqGrfI9M,1,1
6,2022-11-30 02:55:31+00:00,1597786373607473153,"[#reInvent] ITW with @jeffboudier product &amp; growth @huggingface who tells us about a new and more ethical #MachineLearning

#AI #ComputerVision #OpenScience #Python #Coding #100DaysOfCode

@Shi4Tech @gvalan @PawlowskiMario @Fabriziobustama @3itcom @LaurentAlaus @tewoz @sallyeaves https://t.co/KyAx1GO8Jb",jblefevre60,3,1
7,2022-11-30 02:54:21+00:00,1597786081822662660,"UK #Crypto Crime Jumps 32%, Data Shows

https://t.co/B8Gkg0n1MW

#zeroday #ZeroTrust #cybercrime #hackers #privacy #APT #bot #CISO #100DaysOfCode #DataPrivacy #Phishing #hacking #CyberAttack #cybersecurity #Security #infosec #OpenSource #Python #javascript #BTC #ETH",bamitav,4,4
8,2022-11-30 02:51:01+00:00,1597785239480311808,"Sensex Log Data Processing (PDF File Processing in Map Reduce) 

https://t.co/q9U06Bh5jj

#MachineLearning #ML #DataScience #BigData #Analytics #AI #IIoT #PyTorch #Python #RStats #TensorFlow #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode #R https://t.co/75z31btXni",bigdata_engnr,0,1
9,2022-11-30 02:51:00+00:00,1597785235487342592,"回帰曲線を改めて学習
以前は機械学習を含めていませんでしたが今回は機械学習を行ったうえでの回帰曲線作成でした
前よりたくさんの手順を踏んだうえで作っています
右の図は相関が強いのでだいぶ妥当性がある線ですが右の図は関係性が弱く無理のある線になりました
#Python 
#プログラミング https://t.co/BXIBMM8vkb",k63635472,1,0
10,2022-11-30 02:49:57+00:00,1597784973750468611,"The five cyber attack techniques of the apocalypse!

https://t.co/TTTPiz4SyG

#zeroday #ZeroTrust #cybercrime #hackers #privacy #APT #bot #CISO #100DaysOfCode #DataPrivacy #Phishing #hacking #CyberAttack #cybersecurity #Security #infosec #OpenSource #Python #javascript #DataLeak",bamitav,4,2
11,2022-11-30 02:48:43+00:00,1597784662142697473,"Hello coders &lt;3

My new video on nested serializer in django rest framework is out.

Video: https://t.co/TnqaCc8iuS

#django #djangodeveloper #djangorestframework #python #pythonprogramming #DjangoWorld",yashpatel_py,1,0
12,2022-11-30 02:48:24+00:00,1597784582317043713,"Cybersecurity and #patientsafety: why we need to do better?
 https://t.co/xH9xnKr2I7

#zeroday #ZeroTrust #cybercrime #hackers #privacy #APT #bot #CISO #100DaysOfCode #DataPrivacy #Phishing #hacking #CyberAttack #cybersecurity #Security #infosec #OpenSource #Python #javascript",bamitav,4,3
13,2022-11-30 02:47:35+00:00,1597784377127493634,"Brillfy Technology is hiring: Entry Level Python Developer

Position: Entry Level Python Developer (Fresh Graduates Can Apply) Location: Must be open for Relocation across all US Duration: 12 Months Python...

https://t.co/K5JIAxwOIf
#Remote #python #Jobs",RemoteTechJobs0,0,0
14,2022-11-30 02:47:34+00:00,1597784372463403009,"IT Soft Solutions is hiring: Principal Python Developer (Permanent Resident or US Citizen)

Responsibilities: * Write clean and reusable code with comments, unit tests, and documentation * Work closely with team...

https://t.co/iGhWAUHCMj
#Remote #python #Jobs",RemoteTechJobs0,0,0
15,2022-11-30 02:47:33+00:00,1597784367811596288,"Day 38 of #100DaysOfCode of #Python #Programming is done. It was still about working with API. Today, I have learnt to create this habit tracker. That's why learning #software #development is so fun, since you can create your own programs, and you don't need to download anything. https://t.co/hXr4mi8aFz",Mustafa19350559,7,6
16,2022-11-30 02:46:15+00:00,1597784039397724160,@Damn_coder @SaveToNotion #Thread #python,By_Lootos,0,0
17,2022-11-30 02:46:10+00:00,1597784019881566209,"📢 Qualcomm is hiring a SW - Virtual Platform Software Engineer (Remote - US, Canada, UK)!

🌎 Canada CA

 Apply → https://t.co/pOfSmx2wBJ

#jobalert #jobsearch #JobSeekers #python #softwareengineer",jobboardsrch,0,0
18,2022-11-30 02:45:55+00:00,1597783957999087616,"#cybersecurity in BFSI Market to Reach $214.5 Billion, Globally, by 2031 at 18.6% #CAGR

https://t.co/lt7fnlkN6S

#bank #finance #zeroday #ZeroTrust #cybercrime #hackers #APT #bot #100DaysOfCode #Phishing #hacking #cyberattack #Security #infosec #OpenSource #Python #javascript",bamitav,4,5
19,2022-11-30 02:45:45+00:00,1597783917523861504,"We are reliable to offer you A grade in your;
✓online classes
✓nursing
✓essays
✓chemistry
✓finance
✓biology
✓physics
✓math
✓chemistry
✓algebra
✓calculus
✓essay pay
✓Assignment due
#javascript
#Python
#Serverless 
#essaypay......., ..
Whatsapp",Topscore_helper,0,1
20,2022-11-30 02:45:39+00:00,1597783891577917440,"📢 Turnitin, LLC is hiring a Data Analyst (UK Remote)!

🌎 Newcastle upon Tyne, United Kingdom
⏰ Full Time

 Apply → https://t.co/q6nG3b6MTO

#jobalert #jobsearch #JobSeekers #python",jobboardsrch,0,0
21,2022-11-30 02:45:16+00:00,1597783793372479489,"#Trending Tech News 7 Python Projects for Beginners - KDnuggets

#pyton #python #pythonic #ml #machinelearning

Read More Here:
https://t.co/bNDFmSxRiG",cichuck,0,0
22,2022-11-30 02:45:10+00:00,1597783768915480577,This Hours Photo: #weather #minnesota #photo #raspberrypi #python https://t.co/F69k6rukeo,earaspi,0,0
23,2022-11-30 02:44:31+00:00,1597783605748858880,#vikram #kamalHasan #suriya #vijaysethupathi #fadhalfasil #lokeshkanagaraj #LCU #bot #trend #movie #tamil #python,evrysecofvikram,0,0
24,2022-11-30 02:44:07+00:00,1597783505903431681,Model predicting a wrong output https://t.co/3Lmdoer0hQ #github #HTML #Jupyter Notebook #HTML #Python,first_issues,0,0
25,2022-11-30 02:41:56+00:00,1597782952968355841,"IBM plans to train 500,000 #Indians in #cybersecurity over the next five year
 https://t.co/Cib2txyjmj

#zeroday #ZeroTrust #cybercrime #hackers #privacy #APT #bot #CISO #100DaysOfCode #DataPrivacy #Phishing #hacking #cyberattack #Security #infosec #OpenSource #Python #javascript",bamitav,7,4
26,2022-11-30 02:41:00+00:00,1597782719777366016,While else statement equivalent for Java? - Visit https://t.co/jIKW959F7E for the answer. #java #python #if_statement #while_loop #programming,NoticeperiodCom,0,0
27,2022-11-30 02:41:00+00:00,1597782719437705216,#coding #code #programming #cpp #cplusplus #AnakMales #programminglanguages #developers #software #developer #learning #python  #css #html #javascript #kotlin #belajar #flutterdev #java #HTML  #webdesign #webdevelopment #webdev #jQuery #laravel #CodeNewbie,NoticeperiodCom,0,0
28,2022-11-30 02:40:01+00:00,1597782472233738241,"AZ-900 Exam Azure Fundamentals MCQ Practice Test

https://t.co/xuMIfnPD9s

#Azure #bigdata #apachespark #hadoop #programming #programmer #developer #code #codinglife #tech #100DaysOfCode #100daysofcodechallenge #100DaysOfMLCode #datascience #machinelearning #python #cloud #ai #R https://t.co/pvp3O6YbEi",Apps4urMobile,2,3
29,2022-11-30 02:39:03+00:00,1597782230142697473,"You can create diffs with #Python using `difflib`, which is built-in.

The following example compares two multiline strings and shows the differences using one or more ""+"" symbols

Note: This will also output unchanged lines too, but without any ""+"" markings https://t.co/KkTS3lpegV",driscollis,11,4
30,2022-11-30 02:38:52+00:00,1597782182084628481,"@phylum_io identified #w4sp attackers once again using whitespace to hide malware in otherwise legitimate #python pkgs. Hundreds of spaces push the malicious code off-screen. Enable wordwrap in your editors.

Reported to #pypi!

#malware #infosec #opensource https://t.co/BYhekJdQJY",LouiswLang,1,0
31,2022-11-30 02:38:03+00:00,1597781977804972033,"Xen AI Jobs in Data Science, AI/ML #hiring - Karkidi 

#SoftwareDeveloper #100DaysOfCode #100daysofpython #Coding #Python #ComputerScience #internships #PhD #PhDone #DeepLearning #AI #Jobs #MachineLearning #Careers #DataScience #DEVCommunity #XenAI

https://t.co/ibLSUVw9me",NoticeperiodCom,1,2
32,2022-11-30 02:36:36+00:00,1597781614611894272,"The White Room analogy…

We start with a blank, empty room which only has some shelves and one small `built-in` booklet with a few things in it.

Then we build from there

Here's the full analogy:

#Python #LearnPython #Coding (2/3)",BobChauvin,0,0
33,2022-11-30 02:35:16+00:00,1597781275565522944,"Xen AI Jobs in Data Science, AI/ML #hiring - Karkidi 

#SoftwareDeveloper #100DaysOfCode #100daysofpython #Coding #Python #ComputerScience #internships #PhD #PhDone #DeepLearning #AI #Jobs #MachineLearning #Careers #DataScience #DEVCommunity #XenAI

https://t.co/l4InR1xSjs",karkidijob,1,3
34,2022-11-30 02:33:45+00:00,1597780896442105856,"Hands-On RESTful Python Web Services: Develop RESTful web services or APIs with modern Python 3.7, 2nd Edition https://t.co/zpaZo9kWFt  #Python #ad",pythonbot_,0,0
35,2022-11-30 02:33:35+00:00,1597780855413477376,"Python ロボティクスプログラミング入門 好評発売中
豊富なオリジナルイラストや図表に加え、作業画面キャプチャ画像など多数掲載。
教育版レゴⓇ マインドストームⓇ EV3を活用したロボティクスプログラミング学習書籍

https://t.co/vUlhcgEzuS

#LEGO
#レゴ
#Python
#プログラミング教育
#ロボット https://t.co/9FwupvCzlP",roboreed,0,0
36,2022-11-30 02:32:33+00:00,1597780594662182913,Generative #AI Landscape #MachineLearning #DataScience #SQL #Cybersecurity #BigData #Analytics #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode #NodeJS #golang #NLP #IoT #blockchain #AWS,Grepnetics,7,7
37,2022-11-30 02:32:04+00:00,1597780473287421952,"Elliptic functions of a complex argument in Python: I used Mathematica to create the graphics for my previous two posts because SciPy didn’t have the functions I needed. In particular, elliptic integrals and elliptic… https://t.co/TXqV12QKhC #opensource #programming #python",embedded_house,0,0
38,2022-11-30 02:31:06+00:00,1597780227672809473,"I am a #RaspberryPi #Python scripted bot
This is my daily #Pihole report:

Ads Blocked: 4124
Ads Percentage Today: 43 %
DNS Queries Today: 9444
Domains Blocked: 522057

Time and date: 08:01 11-30-2022",pihole_fosser,0,0
39,2022-11-30 02:31:01+00:00,1597780205833277440,"MORI Associates, Inc. is looking for an IT Compliance &amp; Systems Administrator - Linux, BigFix - NASA/JPL
https://t.co/Q2yvym5hMz Pasadena, CA, United States
( Python  Cloud ) 
#coding #Python",PythonJobsFeed,0,0
40,2022-11-30 02:30:45+00:00,1597780139382800384,"Tech News via @7GTech -  @jblefevre60: '[#reInvent] Énormément de monde sur l'événement, plus que pour le #CES !

#AI #MachineLearning #Cloud #cybersecurity #Python #Coding #100DaysOfCode

@CurieuxExplorer @Nicochan33 @… https://t.co/CWN5hNlVkr, see more https://t.co/9ZlH5oh7yD",7GTech,0,2
41,2022-11-30 02:30:36+00:00,1597780104184201221,"📢 Everyrealm Inc . is hiring a Blockchain Engineer, NFTs!

🌎 Worldwide

 Apply → https://t.co/SjzLMXwy2G

#web3jobs #web3 #web3community #python #softwareengineer #solidity",jobboardsrch,0,0
42,2022-11-30 02:30:33+00:00,1597780089202253826,"📢 CRI Group is hiring a Google Cloud Platform Engineer (Java or/and Python)-REMOTE!

🌎 Athens
⏰ Full Time

 Apply → https://t.co/QhBb8h7gpK

#jobalert #jobsearch #JobSeekers #python #aws #docker",jobboardsrch,0,0
43,2022-11-30 02:30:23+00:00,1597780046437048321,Bored in between #WorldCup games? Fill your time by solving this kata to help the referee keep track of players with yellow and red cards ⚽️ #6kyu #Fundamentals #Python #JavaScript https://t.co/iCk8GBySAJ,codewars,1,0
44,2022-11-30 02:30:07+00:00,1597779980154454018,While else statement equivalent for Java? - Visit https://t.co/YfgY8urI62 for the answer. #java #python #if_statement #while_loop #programming,Programmatoris,0,0
45,2022-11-30 02:30:06+00:00,1597779977218523136,"Python development services for eCommerce applications are in high demand. Here are the 7 top 10 reasons to choose Python for eCommerce development.👉https://t.co/KUpcf7N353

#python #pythondevelopment #pythondevelopers #eCommerce #eCommerceservice #webappdevelopment #metizsoft https://t.co/0w6MBYNN9d",Metizsoft,0,0
46,2022-11-30 02:30:05+00:00,1597779971598082048,"10 simple coding interview questions and their answers using Python

See: https://t.co/o2hcY6VdUw

#isrgrajan #WednesdayMotivation #ComputerProgramming #InterviewQuestions #ProgrammingInterview #Python https://t.co/89Ffstw2Dx",isrgrajan,0,0
47,2022-11-30 02:30:04+00:00,1597779966883762176,"Hi! I'm a #RaspberryPi. It's Tue 29 Nov 2022 09:30:03 PM EST and my current memory usage is: 353.0M of 430.0M or 82.0%.

Powered by #Raspbian #Linux #Maker #Python",gpibot_g,0,0
48,2022-11-30 02:29:37+00:00,1597779854573076482,@pyquantnews @SaveToNotion #Thread #Python #quantfinance,marlontyrone,0,0
49,2022-11-30 02:28:57+00:00,1597779686658031616,"Working on web application from designing in Figma to development in Python/Django.

#python #django #website #web #developer #development #figma #uidesign #uxdesign #morning #routine #winter #programming #coding https://t.co/7pKtpdGTap",adilu_88,3,0
50,2022-11-30 02:24:36+00:00,1597778592339218432,"We are reliable to offer you A grade in your;
✓nursing
✓essays
✓chemistry
✓finance
✓physics
✓biology
✓physics
✓chemistry
✓algebra
✓calculus
✓essay pay
✓Assignment due

#100DaysOfCode
#WomenWhoCode
#javascript
#Python
#Serverless
#Asu #IoT
Hit our Bio for More info",smarttutor05,1,1
51,2022-11-30 02:21:30+00:00,1597777810990383105,"""15 basic 'ps' command to monitor Linux process with Examples

#LinuxTeck #linux #unix #scripting #Programming #softwaredevelopment #sysadmins #coding #php #python #rhel #centos #ubuntu #ps

https://t.co/PW5256D4eW",linuxteck,2,0
